Name;Sport;Date;Start time;Duration;Total distance (km);Average heart rate (bpm);Average speed (km/h);Max speed (km/h);Average pace (min/km);Max pace (min/km);Calories;Fat percentage of calories(%);Average cadence (rpm);Average stride length (cm);Running index;Training load;Ascent (m);Descent (m);Average power (W);Max power (W);Notes;Height (cm);Weight (kg);HR max;HR sit;VO2max
Hiit Dt2a;JOGGING;07/10/2021;09:23:29;00:38:05;;117;0.0;;00:00;;349;34;;;;;;;;;;180.0;120.0;193;;37
Sample rate;Time;HR (bpm);Speed (km/h);Pace (min/km);Cadence;Altitude (m);Stride length (m);Distances (m);Temperatures (C);Power (W);;;;;;;;;;;;;;;;
205;00:03:25;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
206;00:03:26;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
207;00:03:27;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
208;00:03:28;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
209;00:03:29;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
210;00:03:30;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
211;00:03:31;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
212;00:03:32;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
213;00:03:33;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
214;00:03:34;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
215;00:03:35;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
216;00:03:36;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
217;00:03:37;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
218;00:03:38;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
219;00:03:39;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
220;00:03:40;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
221;00:03:41;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
222;00:03:42;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
223;00:03:43;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
224;00:03:44;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
225;00:03:45;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
226;00:03:46;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
227;00:03:47;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
228;00:03:48;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
229;00:03:49;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
230;00:03:50;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
231;00:03:51;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
232;00:03:52;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
233;00:03:53;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
234;00:03:54;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
235;00:03:55;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
236;00:03:56;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
237;00:03:57;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
238;00:03:58;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
239;00:03:59;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
240;00:04:00;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
241;00:04:01;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
242;00:04:02;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
243;00:04:03;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
244;00:04:04;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
245;00:04:05;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
246;00:04:06;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
247;00:04:07;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
248;00:04:08;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
249;00:04:09;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
250;00:04:10;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
251;00:04:11;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
252;00:04:12;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
253;00:04:13;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
254;00:04:14;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
255;00:04:15;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
256;00:04:16;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
257;00:04:17;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
258;00:04:18;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
